,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,NAICS_CODE,NAICS_DESC,LEVEL,ENROLLMENT,START_GRAD,END_GRADE,FT_TEACHER,YEAR
4784,A1790499,LEGACY ACADEMY - CHRISTIAN UNIVERSITY-MODEL SCHOOL,1400 E LOOP 281,LONGVIEW,TX,75605,3,1,47,HARRISON,48203,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,41,2,14,6,2019
4785,A1503747,MCKINNEY CHRISTIAN ACADEMY,3601 BOIS D ARC RD,MCKINNEY,TX,75071,1,1,665,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,610,2,17,55,2019
4786,A0308055,RAINEY SCHOOL OF MONTESSORI,1811 E 42ND ST,ODESSA,TX,79762,2,1,17,ECTOR,48135,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,15,2,8,2,2019
4787,A1703455,FUSION ACADEMY - PLANO,2400 N DALLAS PKWY STE 180,PLANO,TX,75093,6,1,22,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,7,15,17,15,2019
4838,01323472,ST PATRICK CATHOLIC SCHOOL,2116 LOWERY ST,LUFKIN,TX,75901,1,1,70,ANGELINA,48005,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,61,2,13,9,2009
4839,01322876,ST PAUL CATHOLIC SCHOOL,307 JOHN ADAMS DR,SAN ANTONIO,TX,78228,1,1,185,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,170,2,13,15,2010
4841,01932564,ST MARK CATHOLIC SCHOOL,1201 ALMA DR,PLANO,TX,75075,1,1,539,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,505,2,13,34,2009
4842,A0771829,PRIMROSE SCHOOL OF CASTLE HILLS,1824 KING ARTHUR BLVD,CARROLLTON,TX,75010,6,1,13,DENTON,48121,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,12,2,4,1,2010
4843,01608491,ST RAPHAEL SCHOOL,2310 WOODSIDE DR,EL PASO,TX,79925,1,1,314,EL PASO,48141,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,291,2,13,23,2010
4844,A9904209,EXCEL ADVENTIST ACADEMY,7950 W FUQUA DR,MISSOURI CITY,TX,77459,1,1,42,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,37,2,13,5,2010
4845,A0771843,PRIMROSE SCHOOL OF LEAGUE CITY AT SOUTH SHORE,3025 S SHORE BLVD,LEAGUE CITY,TX,77573,7,1,16,GALVESTON,48167,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,15,2,3,1,2010
4846,01325403,OUR LADY OF LOURDES CATHOLIC SCHOOL,10114 HWY 6,HITCHCOCK,TX,77563,1,1,64,GALVESTON,48167,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,54,2,11,10,2009
4859,BB981426,ETERNITY CHRISTIAN SCHOOL,1122 W RD,HOUSTON,TX,77038,1,1,53,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,41,2,12,12,2010
4860,01325287,ST ROSE OF LIMA CATHOLIC SCHOOL,3600 BRINKMAN ST,HOUSTON,TX,77018,1,1,292,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,270,2,13,22,2009
4861,BB981479,WOODLANDS CHRISTIAN ACADEMY,5800 ACADEMY WAY,THE WOODLANDS,TX,77384,1,1,683,MONTGOMERY,48339,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,611,2,17,72,2010
